TransactionID,Date,Product,Category,Region,CustomerID,Quantity,UnitPrice,PaymentMethod,Discount,ShippingCost,TotalAmount
10000,2023-04-13,Mouse,Electronics,North,3608,7,344.78,Cash,20.0,7.33,1938.1
10001,2024-03-11,Phone,Accessories,Central,3475,6,1833.73,Bank Transfer,0.0,21.39,11023.77
10002,2023-09-28,Headphones,Audio,West,1418,1,1551.68,Credit Card,20.0,34.47,1275.81
10003,2023-04-17,Keyboard,Accessories,North,2370,2,60.34,Credit Card,20.0,21.98,118.52
10004,2023-03-13,Mouse,Audio,Central,4588,6,1487.88,PayPal,20.0,44.62,7186.44
10005,2024-12-01,Printer,Office,South,3502,1,1487.97,PayPal,10.0,35.87,1375.04
10006,2023-01-21,Speaker,Accessories,Central,1713,5,1018.79,Debit Card,20.0,31.7,4106.86
10007,2024-09-06,Speaker,Electronics,West,3249,1,139.67,Credit Card,5.0,3.55,136.24
10008,2023-05-02,Tablet,Electronics,Central,1178,3,1180.82,Debit Card,10.0,8.77,3196.98
10009,2024-04-11,Headphones,Electronics,North,3104,7,1543.21,Debit Card,10.0,21.41,9743.63
10010,2023-08-03,Laptop,Electronics,North,4769,5,578.2,Bank Transfer,15.0,48.82,2506.17
10011,2023-11-27,Laptop,Electronics,East,4675,1,1350.78,PayPal,20.0,16.72,1097.34
10012,2024-04-03,Headphones,Electronics,Central,4875,1,740.16,Debit Card,5.0,31.5,734.65
10013,2023-03-29,Printer,Accessories,South,2929,8,1169.02,Debit Card,5.0,49.45,8934.0
10014,2024-01-08,Camera,Office,West,1945,9,799.9,PayPal,15.0,13.2,6132.44
10015,2023-04-10,Headphones,Electronics,East,3018,7,642.33,PayPal,5.0,8.33,4279.82
10016,2024-10-25,Printer,Office,Central,3548,3,1719.03,Credit Card,10.0,27.32,4668.7
10017,2023-05-11,Keyboard,Accessories,South,1738,6,1519.98,PayPal,0.0,,9147.47
10018,2024-10-23,Speaker,Electronics,East,2956,3,723.63,Bank Transfer,10.0,46.09,1999.89
10019,2023-11-05,Phone,Electronics,North,1111,4,897.53,Credit Card,0.0,1.32,3591.44
10020,2023-12-10,Camera,Accessories,West,4219,4,1398.82,Debit Card,5.0,20.37,5335.89
10021,2024-05-06,Mouse,Accessories,Central,4852,3,1631.6,Bank Transfer,,15.62,3931.46
10022,2024-02-18,Camera,Accessories,South,1714,6,1384.47,Bank Transfer,,28.55,8335.37
10023,2024-01-21,Phone,Electronics,North,2401,5,1104.82,Credit Card,10.0,0.47,4972.16
10024,2023-07-11,Tablet,Audio,East,3924,9,1911.05,Debit Card,10.0,35.55,15515.06
10025,2023-10-04,Speaker,Electronics,West,2938,9,1559.58,Credit Card,10.0,24.25,12656.85
10026,2023-06-10,Laptop,Electronics,East,4419,3,275.4,Cash,10.0,35.03,778.61
10027,2024-04-04,Printer,Office,East,2381,9,1138.37,Cash,15.0,22.39,8730.92
10028,2023-11-10,Headphones,Audio,South,4127,3,848.64,Credit Card,5.0,23.71,2442.33
10029,2023-01-22,Headphones,Accessories,North,1812,4,1600.12,Debit Card,20.0,44.78,5165.16
10030,2023-09-10,Laptop,Audio,Central,4387,1,137.09,Debit Card,15.0,10.54,127.07
10031,2024-07-14,Camera,Electronics,South,4011,5,850.91,PayPal,5.0,10.87,4052.69
10032,2024-04-19,Speaker,Accessories,West,2208,9,670.64,Bank Transfer,0.0,27.97,6063.73
10033,2023-02-28,Monitor,Electronics,East,4125,2,325.31,Credit Card,15.0,33.01,586.04
10034,2024-05-25,Printer,Electronics,West,1036,4,788.67,Bank Transfer,15.0,17.73,2699.21
10035,2024-11-12,Keyboard,Accessories,South,4794,2,1361.96,Bank Transfer,15.0,25.98,2341.31
10036,2024-04-20,Phone,Accessories,South,2828,8,755.27,Cash,15.0,11.39,5147.23
10037,2024-11-30,Camera,Office,Central,4060,9,1181.01,Cash,0.0,6.8,10635.89
10038,2023-07-09,Mouse,Audio,East,4341,3,1205.98,Credit Card,10.0,11.91,3268.06
10039,2024-11-17,Tablet,Electronics,South,3910,9,1194.87,Credit Card,15.0,45.82,9186.58
10040,2024-07-16,Headphones,Accessories,West,3779,6,1082.59,Debit Card,5.0,40.09,6210.85
10041,2024-07-20,Camera,Audio,Central,4579,6,278.13,Credit Card,10.0,7.01,1508.91
10042,2023-09-01,Tablet,Electronics,West,2251,7,475.99,Debit Card,0.0,2.33,3334.26
10043,2024-05-19,Phone,Audio,East,4499,5,1610.13,Debit Card,20.0,4.66,6445.18
10044,2023-05-11,Headphones,Audio,Central,4941,6,1029.61,Credit Card,0.0,14.67,6192.33
10045,2024-04-29,Headphones,Audio,Central,4794,1,1426.85,Debit Card,20.0,40.57,1182.05
10046,2024-10-08,Monitor,Electronics,Central,1809,3,1161.32,Bank Transfer,5.0,16.07,3325.83
10047,2023-01-21,Camera,Accessories,North,4072,9,125.45,Debit Card,20.0,9.28,912.52
10048,2023-06-16,Speaker,Accessories,Central,1022,5,1602.62,Bank Transfer,15.0,19.79,6830.92
10049,2023-10-01,Laptop,Electronics,West,2526,5,175.43,Bank Transfer,10.0,6.2,795.64
10050,2024-01-23,Laptop,Electronics,West,4519,8,1889.19,Bank Transfer,10.0,23.51,13625.68
